# power_id	glyph	secondary	badge	badge_pal	mechanic
gravity_well	feather	ice	downb	mana	A projectile slows an airborne target's fall.
arcanists_barrage	arrows3	arcane	starb	mana	Repeated combat shots echo into a magical barrage.
unbroken_focus	crystal_ball	amethyst	up	prismarine	Uninterrupted channeling steadily gains force.
tidal_draw	anchor	water	arrowb	prismarine	A sustained channel pulls enemies toward the aim.
harmonic_resonance	burst	water	plus	prismarine	A sustained channel widens its area.
siphon_bond	link	blood	heartb	pink	A siphoning channel restores additional health.
the_long_note	staff	amethyst	arrowsb	prismarine	A long channel splits damage onto a second target.
pack_tactics	paw	bone	up	moss	Summons coordinate attacks against a shared target.
fallen_echo	ghost	bone	up	arcane	A fallen summon empowers the caster briefly.
soul_tether	link	bone	shieldb	moss	Nearby summons share a protective tether.
lingering_binding	paw	bone	burstb	fire	An unsummon releases the creature's stored damage.
the_conductor	staff	wood	pawb	moss	A conductor maintains two distinct summon batches.
phase_recoil	arrow	ender	up	arcane	Teleporting accelerates the next projectile.
vanishing_trail	ghost	ender	eyeb	arcane	A teleport leaves a decoy that draws attention.
clean_exit	portal	ender	no	ice	A teleport removes movement impairments.
blink_strike	dagger	ender	starb	arcane	The first strike after teleporting gains damage.
folded_space	portal	ender	dropb	mana	A quick second teleport costs less mana.
staff_strike	staff	wood	clockb	mana	Staff melee shortens the next spell's cast time.
spell_parry	shield_bang	steel	arrowb	mana	A magic blade reflects part of blocked spell damage.
imbued_rhythm	dual_swords	mana	arrowsb	copper	Alternating weapon and spell attacks builds damage.
arcane_riposte	katana	mana	clockb	arcane	A magic sword's triggered spell recovers sooner.
warmages_covenant	sword	wood	starb	mana	A critical melee hit prepares a stronger spell.
lingering_grace	hourglass	gold	clockb	prismarine	An expiring self buff prepares a spell cooldown refund.
shared_flame	link	gold	plus	prismarine	A personal utility spell extends to nearby allies.
shield_break_counter	broken_armor	steel	shieldb	prismarine	A broken barrier leaves temporary damage protection.
empowered_dispel	potion	prismarine	up	arcane	Removing debuffs prepares stronger spell damage.
the_still_mind	crystal_ball	mana	heartb	pink	Full health and mana prepare a powerful afflicting spell.
tc_first_heat	sword	wood	flameb	fire	Repeated Tinkers' melee strikes prepare extra damage.
tc_plumb_line	pickaxe	steel	anchorb	copper	Grounded committed mining prepares a speed window.
tc_quench	anvil	steel	dropb	water	A paid repair grants temporary fire protection.
tc_working_memory	gear	steel	clockb	gold	A part change prepares a stronger paid repair on that tool.
tc_hammer_and_tongs	warhammer	wood	shieldb	steel	A substantial shield block prepares stronger Tinkers' melee.
tc_temper_reserve	wrench	steel	shieldb	gold	A substantial repair protects the tool against wear.
tc_resonant_return	axe	wood	arrowsb	copper	A returned thrown tool prepares a stronger next throw.
tc_workshop_aegis	house	stone	shieldb	copper	An attributed cast protects the crafter within the workshop.
tc_great_work	anvil	gold	starb	holy	Assembly repair and casting together inspire the artisan.
tc_last_temper	pickaxe	steel	heartb	crimson	A tool survives ordinary wear on its last durability.
tc_foundry_heart	furnace	stone	heartb	fire	Owned melting operations prepare faster melting and cooling.
tc_many_hands	hand	wood	plus	prismarine	Working with an ally grants stronger paid repairs.
tide_stillwater_oath	tide_oath	gold	anchorb	gold	A landed fish leaves one luminous loop ready for the next cast.
tide_unbroken_thread	tide_grip	gold	starb	water	Two knots in an unbroken line prepare one protected fish retrieval.
tide_keeper_of_the_banks	tide_pouch	gold	anchorb	water	A bait pouch between river banks prepares one careful cast and one conserved bait unit.
ss_mark_of_the_draw	sword	steel	clockb	gold	A deliberate first strike follows a quiet interval.
sm_reversal	shield	amethyst	up	steel	A surviving defender turns a blow back on its attacker.
sm_first_pass	polearm	wood	up	amethyst	A forward lance charge gives the mount a brief burst of speed.
tom_sheltering_current	shield	amethyst	dropb	water	An Aqua cast shelters its recently wounded caster.
tom_stillwater	fish	amethyst	clockb	gold	Distinct paid Aqua casts build a defensive rhythm.
tom_companions_wake	paw	amethyst	shieldb	water	A newly summoned companion stands steady.
tide_between_ember_and_star	fish	water	starb	gold	Two legal casts prepared by catches across native mediums.
tide_anglers_almanac	book	water	starb	gold	Three known catches open expanded journal comparisons.
tide_favor_from_the_deep	fish	water	coinb	gold	Favor one already known and eligible species.
ss_seal_of_the_interval	sword	amethyst	clockb	gold	Seal of the Interval rewards a native weapon sequence.
ss_awakened_arsenal	sword	amethyst	starb	gold	Awakened Arsenal rewards a native weapon sequence.
ss_resonant_breath	gem	amethyst	clockb	gold	Resonant Breath follows a confirmed native gem proc.
ss_seal_of_gemguard	gem	amethyst	shieldb	gold	Seal of Gemguard follows a confirmed native gem proc.
tom_undertow	fish	water	clockb	amethyst	Undertow follows a verified originating Aqua cast.
tom_confluence	wand	water	starb	amethyst	Confluence follows a verified originating Aqua cast.
ss_returning_steel	sword	steel	clockb	ice	A successfully accepted owner return arms a slowing direct hit.
sm_measured_reach	polearm	steel	shieldb	water	Two distinct outer reach hits grant resistance.
sm_broken_guard	shield	steel	shieldb	amethyst	Broken Guard follows actual native combat outcomes.
sm_hold_the_breach	shield	steel	heartb	amethyst	Hold the Breach follows actual native combat outcomes.
sm_changing_arsenal	sword	steel	starb	amethyst	The Changing Arsenal follows actual native combat outcomes.
tom_artificers_accord	chestplate	water	shieldb	amethyst	A paid armor activation and Aqua cast grant an artificer Guard.
